,...1,Name,Wins,WinPercentage,Pace,eFG,TOV,ORB,DRB,FTF,oppeFG,oppTOV,oppORB,oppDRB,oppFTF
137,43,capebreton,18,0.9,2.092731388,0.463957055,0.196641413,0.269956459,0.751322751,0.281441718,0.412778177,0.199348675,0.248677249,0.730043541,0.15793252
138,44,uqam,3,0.1875,1.889638932,0.380882353,0.222026344,0.333876221,0.652249135,0.187254902,0.438229572,0.209156403,0.347750865,0.666123779,0.195525292
139,45,macewan,6,0.3,1.946766542,0.342607973,0.301636909,0.331658291,0.677111717,0.177740864,0.430129241,0.245305797,0.322888283,0.668341709,0.224555735
140,46,concordia,10,0.625,1.8280625,0.408920188,0.167329188,0.325041459,0.661896243,0.168075117,0.417093142,0.240839498,0.338103757,0.674958541,0.154554759
141,47,york,10,0.434782609,2.024483583,0.408,0.261497326,0.37020316,0.679723502,0.205333333,0.426870748,0.239451204,0.320276498,0.62979684,0.229251701
142,1,brock,17,0.772727273,1.918739903,0.428618206,0.172417922,0.334463277,0.688914027,0.164374591,0.384375,0.201788304,0.311085973,0.665536723,0.1625
143,2,carleton,15,0.681818182,1.850613636,0.449891853,0.211176485,0.328282828,0.705952381,0.180245133,0.381058911,0.220555528,0.294047619,0.671717172,0.187173751
144,3,ryerson,18,0.818181818,1.920094937,0.464400257,0.192457553,0.357615894,0.715343915,0.146889031,0.368647101,0.249424856,0.284656085,0.642384106,0.170365068
145,4,calgary,18,0.9,1.8681,0.473903177,0.211055008,0.348148148,0.693989071,0.169440242,0.410326087,0.310379964,0.306010929,0.651851852,0.219202899
146,5,victoria,12,0.6,1.894855865,0.438854489,0.205143666,0.328431373,0.698224852,0.253869969,0.430851064,0.201417137,0.301775148,0.671568627,0.185410334
147,6,alberta,16,0.8,1.924214792,0.463039867,0.267140413,0.357239513,0.679086538,0.243355482,0.372072853,0.288362784,0.320913462,0.642760487,0.261058109
148,7,upei,17,0.85,2.026528056,0.421875,0.169655241,0.265725289,0.715394567,0.209302326,0.373388931,0.222096094,0.284605433,0.734274711,0.191053829
149,8,mcgill,7,0.4375,1.7936,0.379417879,0.248350122,0.322580645,0.739054291,0.146569647,0.401930894,0.205918243,0.260945709,0.677419355,0.152439024
150,9,unbc,11,0.55,1.933308642,0.44026377,0.207591174,0.305454545,0.636263736,0.261442979,0.405494505,0.235488798,0.363736264,0.694545455,0.204395604
151,10,saskatchewan,18,0.9,1.880865433,0.491762178,0.194604393,0.439053254,0.728365385,0.205587393,0.337333333,0.305824599,0.271634615,0.560946746,0.205333333
152,11,ubc,16,0.8,1.925175,0.480625931,0.224323129,0.377613776,0.722029988,0.166169896,0.414605873,0.223688988,0.277970012,0.622386224,0.171561051
153,12,acadia,16,0.8,2.094643304,0.471491228,0.210335818,0.332846715,0.76125,0.235380117,0.383763838,0.190648682,0.23875,0.667153285,0.224354244
154,13,western,19,0.863636364,1.974662162,0.427103404,0.190844018,0.349547511,0.737193764,0.180475273,0.394090305,0.197569436,0.262806236,0.650452489,0.122841965
155,14,unb,10,0.5,1.980029843,0.395912188,0.230074774,0.330578512,0.751412429,0.175624527,0.396974652,0.220161494,0.248587571,0.669421488,0.243663123
156,15,trinitywestern,6,0.3,1.811375,0.383739837,0.248975213,0.342989571,0.650130548,0.193495935,0.46626506,0.218107794,0.349869452,0.657010429,0.199196787
157,16,laurier,10,0.454545455,1.8875,0.386004515,0.218180507,0.234096692,0.701877934,0.194130926,0.391661195,0.168783344,0.298122066,0.765903308,0.147734734
158,17,ottawa,18,0.818181818,1.954623172,0.456206679,0.187237867,0.370010787,0.716035635,0.175173283,0.378289474,0.252937524,0.283964365,0.629989213,0.215643275
159,18,lethbridge,11,0.55,1.923,0.456183456,0.259811473,0.326030928,0.709798995,0.21048321,0.440630048,0.257618517,0.290201005,0.673969072,0.180129241
160,19,toronto,5,0.227272727,1.87012957,0.385992218,0.259419395,0.310794781,0.65060241,0.209338521,0.45324768,0.2143636,0.34939759,0.689205219,0.182726624
161,20,saintmarys,10,0.5,2.06394052,0.425978648,0.196377525,0.248184019,0.668380463,0.159430605,0.407518797,0.246692756,0.331619537,0.751815981,0.226315789
162,21,waterloo,3,0.136363636,2.053938706,0.351546392,0.248037505,0.290578888,0.650462963,0.173883162,0.420359666,0.190514614,0.349537037,0.709421112,0.184971098
163,22,dalhousie,2,0.1,2.047926037,0.334232845,0.245253551,0.279097387,0.675,0.195836546,0.440467495,0.22022938,0.325,0.720902613,0.185536888
164,23,stfx,3,0.15,2.107654076,0.391984733,0.232260511,0.244956772,0.734895191,0.184732824,0.396481732,0.152517716,0.265104809,0.755043228,0.198240866
165,24,winnipeg,12,0.6,1.9933,0.416271722,0.242877691,0.287369641,0.631355932,0.2164297,0.40647482,0.254968456,0.368644068,0.712630359,0.174100719
166,25,thompsonrivers,7,0.35,1.798409938,0.387966805,0.208923316,0.278301887,0.602864583,0.23153527,0.452995008,0.235784206,0.397135417,0.721698113,0.278702163
167,26,regina,8,0.4,1.885975,0.428516526,0.214336747,0.330588235,0.694690265,0.211375865,0.40729927,0.180620484,0.305309735,0.669411765,0.152554745
168,27,mountroyal,5,0.25,1.986068034,0.396144768,0.282820967,0.309007982,0.651442308,0.184107002,0.437990581,0.246443089,0.348557692,0.690992018,0.255102041
169,28,windsor,17,0.772727273,1.946157386,0.424983477,0.19482988,0.413301663,0.750282486,0.186384666,0.357400722,0.205921115,0.249717514,0.586698337,0.194945848
170,29,queens,15,0.681818182,1.984617117,0.46278626,0.188660119,0.336518047,0.688561721,0.179389313,0.425938804,0.246998285,0.311438279,0.663481953,0.164812239
171,30,brandon,1,0.05,1.887675,0.402620087,0.279348143,0.274111675,0.596926714,0.2069869,0.479003559,0.200898758,0.403073286,0.725888325,0.169395018
172,31,manitoba,9,0.45,2.02555,0.435674548,0.22554167,0.330794342,0.590618337,0.138386648,0.407735983,0.237930438,0.409381663,0.669205658,0.237757275
173,32,guelph,14,0.636363636,2.063381884,0.425216316,0.191596195,0.358683314,0.720901126,0.166872682,0.405348346,0.250237532,0.279098874,0.641316686,0.177339901
174,33,algoma,6,0.272727273,1.878683314,0.394315452,0.230143962,0.197050938,0.646191646,0.192954363,0.417222964,0.175367437,0.353808354,0.802949062,0.182242991
175,34,laurentian,3,0.136363636,1.907409051,0.377744133,0.245525844,0.240135287,0.652977413,0.224829674,0.427687296,0.196433968,0.347022587,0.759864713,0.184364821
176,35,ubcokanagan,2,0.1,1.895375,0.322642968,0.279444019,0.40062435,0.668286756,0.196290572,0.464549483,0.1863215,0.331713244,0.59937565,0.185376662
177,36,lakehead,8,0.363636364,1.925729382,0.399048266,0.221525827,0.361529548,0.635235732,0.13800136,0.426031294,0.231722928,0.364764268,0.638470452,0.205547653
178,37,ufv,16,0.8,1.920125,0.431714719,0.205247073,0.337677725,0.700805524,0.248103187,0.402766477,0.239572697,0.299194476,0.662322275,0.23352319
179,38,memorial,13,0.65,2.113654419,0.404567144,0.166056821,0.28452381,0.688010899,0.222903885,0.435412027,0.241528735,0.311989101,0.71547619,0.195248701
180,39,mcmaster,14,0.636363636,1.996213309,0.413716814,0.184433581,0.312690355,0.655282818,0.175094817,0.406779661,0.242723902,0.344717182,0.687309645,0.203389831
181,40,bishops,10,0.625,1.878534031,0.40960452,0.181005111,0.303215926,0.654605263,0.196798493,0.407752699,0.254331846,0.345394737,0.696784074,0.16781158
182,41,laval,12,0.75,1.831203242,0.401203611,0.225293641,0.31281198,0.783471074,0.184553661,0.36559679,0.163134938,0.216528926,0.68718802,0.196589769
183,42,nipissing,4,0.181818182,1.98553616,0.358046381,0.233596937,0.233009709,0.651977401,0.137737175,0.457544089,0.200215088,0.348022599,0.766990291,0.163291966
184,43,capebreton,9,0.45,2.047194067,0.413753799,0.220906868,0.317232376,0.70906801,0.258358663,0.428422516,0.177702279,0.29093199,0.682767624,0.183460737
185,44,uqam,7,0.4375,1.881037176,0.403353057,0.213391345,0.331541219,0.650337838,0.210059172,0.395233366,0.226721589,0.349662162,0.668458781,0.213505462
186,45,macewan,2,0.1,1.97685,0.389823381,0.327461323,0.311495674,0.661725067,0.170731707,0.5044,0.264885554,0.338274933,0.688504326,0.2056
187,46,concordia,4,0.25,1.883119725,0.385956175,0.193759936,0.263620387,0.637655417,0.195219124,0.409883721,0.207161636,0.362344583,0.736379613,0.204457364
188,47,york,11,0.5,1.920547945,0.41759388,0.260608009,0.390184049,0.697940503,0.19123783,0.401457321,0.225952227,0.302059497,0.609815951,0.174184594
189,48,ontariotech,1,0.045454545,1.940454239,0.328113348,0.245505894,0.2787068,0.613885505,0.190902312,0.473243069,0.198280802,0.386114495,0.7212932,0.174725983
190,1,brock,10,0.526315789,1.970611492,0.400618716,0.208797327,0.295180723,0.703846154,0.165506574,0.383263598,0.250344139,0.296153846,0.704819277,0.189958159
191,2,carleton,14,0.736842105,1.850384922,0.431034483,0.242064856,0.409703504,0.731607629,0.196223317,0.378604651,0.255058053,0.268392371,0.590296496,0.229767442
192,3,ryerson,16,0.842105263,2.026654508,0.444404591,0.203708907,0.40875,0.669056153,0.205882353,0.379485179,0.258839364,0.330943847,0.59125,0.15600624
193,4,calgary,15,0.75,1.909644544,0.472734563,0.246667708,0.368831169,0.719570406,0.240577386,0.411296738,0.232343217,0.280429594,0.631168831,0.194908512
194,5,victoria,9,0.45,1.857277695,0.435686275,0.201666756,0.330357143,0.666225166,0.235294118,0.469287469,0.218287979,0.333774834,0.669642857,0.254709255
195,6,alberta,17,0.85,1.870039781,0.475263585,0.22477125,0.323097463,0.66746988,0.228710462,0.367574257,0.265276741,0.33253012,0.676902537,0.218646865
196,7,upei,6,0.3,2.023982013,0.402027027,0.221933067,0.214564369,0.645517241,0.153153153,0.427480916,0.239950882,0.354482759,0.785435631,0.203053435
197,8,mcgill,15,0.9375,1.762124497,0.45227525,0.245420594,0.352083333,0.756756757,0.224195339,0.350982533,0.228425514,0.243243243,0.647916667,0.183406114
198,9,unbc,3,0.15,1.936336336,0.371335505,0.25403738,0.314102564,0.645283019,0.205211726,0.438791125,0.209412614,0.354716981,0.685897436,0.237949503
199,10,saskatchewan,18,0.9,1.840800597,0.519354839,0.196775336,0.367713004,0.742857143,0.243548387,0.395029991,0.250535906,0.257142857,0.632286996,0.191945159
200,11,ubc,9,0.45,1.859175,0.439710611,0.212595267,0.28238342,0.699731903,0.20096463,0.440254237,0.26371308,0.300268097,0.71761658,0.170338983
201,12,acadia,16,0.8,1.860405405,0.432333577,0.230165671,0.343638526,0.699205448,0.215801024,0.398779612,0.219615793,0.300794552,0.656361474,0.180904523
202,13,western,14,0.7,1.91825,0.452033768,0.226446924,0.356,0.668814433,0.189562548,0.406396256,0.235602094,0.331185567,0.644,0.187207488
203,14,unb,12,0.6,1.901810619,0.43879239,0.261081457,0.377473364,0.702917772,0.226633581,0.386885246,0.230447286,0.297082228,0.622526636,0.254918033
204,15,trinitywestern,8,0.4,1.851217089,0.42810189,0.248262826,0.292405063,0.669985775,0.181594084,0.489184692,0.238713517,0.330014225,0.707594937,0.21547421
205,16,laurier,9,0.45,1.894239291,0.416975537,0.195551051,0.320203304,0.650851582,0.175685693,0.395207439,0.189792788,0.349148418,0.679796696,0.14806867
206,17,ottawa,17,0.894736842,1.835217842,0.428343949,0.217482812,0.367346939,0.677640604,0.181528662,0.359205776,0.254760753,0.322359396,0.632653061,0.251805054
